"Identificador de URL";Nombre;Categorías;Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo;Visibilidad
see_hi2380ss;"Sierra Sin Fin HIDRO Hi 2380 SS";"MARCAS > SEERY, FERRETERIA > HERRAMIENTAS ELECTRICAS > SIERRAS SIN FIN";0.00;;0.00;0.00;0.00;0.00;;SEE_HI2380SS;;SI;NO;"<ul>
<li>Mesa de Acero INOX. Mayor durabilidad.</li>
<li>Puerta de Acero INOX de f&aacute;cil extracci&oacute;n para su limpieza.</li>
<li>Mesa M&oacute;vil, mayor seguridad con menor riesgo de accidente.</li>
<li>Grandes dimensiones en la zona de trabajo, lo que permite una mayor agilidad en el corte.</li>
<li>Permite el corte de piezas con una altura m&aacute;xima de 350 mm.</li>
<li>Permite el corte de piezas con un ancho m&aacute;ximo de 290 mm.</li>
<li>Mayor estabilidad al soportar peso sobre la mesa.</li>
<li>Todo en Acero INOX y pintura Epoxi. Mayor resistencia e higiene.</li>
<li>No requiere lubricaci&oacute;n.</li>
</ul>
<h3>Especificaciones t&eacute;cnicas</h3>
<ul>
<li>Altura: 1700 mm</li>
<li>Ancho: 600 mm</li>
<li>Profundidad: 780 mm</li>
<li>Peso l&iacute;quido: 69,55 kg</li>
<li>Peso bruto: 85,68 kg</li>
<li>Motor: WEG 1 CV</li>
<li>Altura &uacute;til de trabajo: 350 mm</li>
<li>Ancho de trabajo: 290 mm</li>
<li>Voltaje: 220 V</li>
<li>Hoja extendida: 2380 mm</li>
<li>Volantes de Hierro: 290 mm</li>
<li>Volumen: 1,102 m&sup3;</li>
</ul>";;;;SEERY;SI;;;;0.00;Visible
see_hb800ss;"Sierra Sin Fin SEERY HB 800 SS";"MARCAS > SEERY, FERRETERIA > HERRAMIENTAS ELECTRICAS > SIERRAS SIN FIN";0.00;;0.00;0.00;0.00;0.00;;SEE_HB800SS;;SI;NO;"<ul>
<li>Mesa de Acero INOX. Mayor durabilidad.</li>
<li>Puerta de Acero INOX de f&aacute;cil extracci&oacute;n para su limpieza.</li>
<li>Mesa M&oacute;vil, mayor seguridad con menor riesgo de accidente.</li>
<li>Grandes dimensiones en la zona de trabajo, lo que permite una mayor agilidad en el corte.</li>
<li>Permite el corte de piezas con una altura m&aacute;xima de 285 mm.</li>
<li>Permite el corte de piezas con un ancho m&aacute;ximo de 210 mm.</li>
<li>Mayor estabilidad al soportar peso sobre la mesa.</li>
<li>Todo en Acero INOX y pintura Epoxi. Mayor resistencia e higiene.</li>
<li>No requiere lubricaci&oacute;n.</li>
</ul>
<h3>Especificaciones t&eacute;cnicas</h3>
<ul>
<li>Altura: 700 mm</li>
<li>Ancho: 660 mm</li>
<li>Profundidad: 690 mm</li>
<li>Peso l&iacute;quido: 30 kg</li>
<li>Motor: WEG 550W</li>
<li>Altura &uacute;til de trabajo: 285 mm</li>
<li>Ancho de trabajo: 210 mm</li>
<li>Voltaje: 220 V</li>
<li>Hoja extendida: 1810 mm</li>
<li>Volantes de Hierro: 215 mm</li>
<li>Volumen: 0,404 m&sup3;</li>
</ul>";;;;SEERY;SI;;;;0.00;Visible
cat_li80;"DISCO TELA AA GRANO 80 - 17""";"MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS, MARCAS > DOBLE A";0.00;;0.00;0.00;0.00;0.00;;CAT_LI180;;SI;NO;"<p>Los productos Fenobond se obtienen a trav&eacute;s de una serie de procesos tecnol&oacute;gicos aplicados a la lija para garantizar alta performance, mayor corte y duraci&oacute;n, obteniendo productividad y diferenciaci&oacute;n en la calidad de las piezas.</p>
<p>La Tela Fenobond para pisos es el producto indicado para el tratamiento de pisos y parquets. Alto rendimiento y eficiencia.</p>
<h3>Caracter&iacute;sticas</h3>
<ul>
<li>C&oacute;digo: WC-73</li>
<li>Respaldo: Tela de algod&oacute;n pesada impermeable</li>
<li>Mineral: Carburo de Silicio</li>
<li>Grosores: 80</li>
<li>Aplicaci&oacute;n: Pisos y parquet</li>
<li>Formato disponibles: Trozos, rollos, bandas, discos</li>
</ul>
<h3>Beneficios</h3>
<ul>
<li>Alta performance</li>
<li>Mayor corte y duraci&oacute;n</li>
<li>Terminaci&oacute;n profesional</li>
</ul>
<h3>Mercado</h3>
<ul>
<li>Hogar y Obra</li>
<li>Maderero</li>
</ul>
<h3>Aplicaciones</h3>
<ul>
<li>Pisos</li>
<li>Parquet</li>
</ul>";;;;"DOBLE A";SI;;;;;Visible
cat_li60;"DISCO TELA AA GRANO 60 - 17""";"MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS, MARCAS > DOBLE A";0.00;;0.00;0.00;0.00;0.00;;CAT_LI160;;SI;NO;"<p>Los productos Fenobond se obtienen a trav&eacute;s de una serie de procesos tecnol&oacute;gicos aplicados a la lija para garantizar alta performance, mayor corte y duraci&oacute;n, obteniendo productividad y diferenciaci&oacute;n en la calidad de las piezas.</p>
<p>La Tela Fenobond para pisos es el producto indicado para el tratamiento de pisos y parquets. Alto rendimiento y eficiencia.</p>
<h3>Caracter&iacute;sticas</h3>
<ul>
<li>C&oacute;digo: WC-73</li>
<li>Respaldo: Tela de algod&oacute;n pesada impermeable</li>
<li>Mineral: Carburo de Silicio</li>
<li>Grosores: 60</li>
<li>Aplicaci&oacute;n: Pisos y parquet</li>
<li>Formato disponibles: Trozos, rollos, bandas, discos</li>
</ul>
<h3>Beneficios</h3>
<ul>
<li>Alta performance</li>
<li>Mayor corte y duraci&oacute;n</li>
<li>Terminaci&oacute;n profesional</li>
</ul>
<h3>Mercado</h3>
<ul>
<li>Hogar y Obra</li>
<li>Maderero</li>
</ul>
<h3>Aplicaciones</h3>
<ul>
<li>Pisos</li>
<li>Parquet</li>
</ul>";;;;"DOBLE A";SI;;;;;Visible
cat_li40;"DISCO TELA AA GRANO 40 - 17""";"MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS, MARCAS > DOBLE A";0.00;;0.00;0.00;0.00;0.00;;CAT_LI40;;SI;NO;"<p>Los productos Fenobond se obtienen a trav&eacute;s de una serie de procesos tecnol&oacute;gicos aplicados a la lija para garantizar alta performance, mayor corte y duraci&oacute;n, obteniendo productividad y diferenciaci&oacute;n en la calidad de las piezas.</p>
<p>La Tela Fenobond para pisos es el producto indicado para el tratamiento de pisos y parquets. Alto rendimiento y eficiencia.</p>
<h3>Caracter&iacute;sticas</h3>
<ul>
<li>C&oacute;digo: WC-73</li>
<li>Respaldo: Tela de algod&oacute;n pesada impermeable</li>
<li>Mineral: Carburo de Silicio</li>
<li>Grosores: 40</li>
<li>Aplicaci&oacute;n: Pisos y parquet</li>
<li>Formato disponibles: Trozos, rollos, bandas, discos</li>
</ul>
<h3>Beneficios</h3>
<ul>
<li>Alta performance</li>
<li>Mayor corte y duraci&oacute;n</li>
<li>Terminaci&oacute;n profesional</li>
</ul>
<h3>Mercado</h3>
<ul>
<li>Hogar y Obra</li>
<li>Maderero</li>
</ul>
<h3>Aplicaciones</h3>
<ul>
<li>Pisos</li>
<li>Parquet</li>
</ul>";;;;"DOBLE A";SI;;;;;Visible
cat_li120;"DISCO TELA AA GRANO 120 - 17""";"MAQUINA ELECTRICA > ACCESORIOS E INSUMOS > LUSTRADORAS, MARCAS > DOBLE A";0.00;;0.00;0.00;0.00;0.00;;CAT_LI120;;SI;NO;"<p>Los productos Fenobond se obtienen a trav&eacute;s de una serie de procesos tecnol&oacute;gicos aplicados a la lija para garantizar alta performance, mayor corte y duraci&oacute;n, obteniendo productividad y diferenciaci&oacute;n en la calidad de las piezas.</p>
<p>La Tela Fenobond para pisos es el producto indicado para el tratamiento de pisos y parquets. Alto rendimiento y eficiencia.</p>
<h3>Caracter&iacute;sticas</h3>
<ul>
<li>C&oacute;digo: WC-73</li>
<li>Respaldo: Tela de algod&oacute;n pesada impermeable</li>
<li>Mineral: Carburo de Silicio</li>
<li>Grosores: 120</li>
<li>Aplicaci&oacute;n: Pisos y parquet</li>
<li>Formato disponibles: Trozos, rollos, bandas, discos</li>
</ul>
<h3>Beneficios</h3>
<ul>
<li>Alta performance</li>
<li>Mayor corte y duraci&oacute;n</li>
<li>Terminaci&oacute;n profesional</li>
</ul>
<h3>Mercado</h3>
<ul>
<li>Hogar y Obra</li>
<li>Maderero</li>
</ul>
<h3>Aplicaciones</h3>
<ul>
<li>Pisos</li>
<li>Parquet</li>
</ul>";;;;"DOBLE A";SI;;;;0.00;Visible
itu_31809_3m;"Prefiltro 5N11 polvos humos y neblinas N95";"FERRETERIA > SEGURIDAD Y PROTECCION > FILTRO, MARCAS > 3M";0.00;;0.00;0.00;0.00;0.00;;ITU_31809_3M;;SI;NO;"<p>Filtro Para Cartuchos 3M 5N11 N95 Aprobado Por Niosh Para Ambientes Que Contengan Ciertas Part&iacute;culas No Aceitosas. Para Uso En Pintura A Pistola Petroqu&iacute;mica Industria Qu&iacute;mica Y La Fumigaci&oacute;n Con Pesticidas Para Concentraciones Hasta 10 Veces El L&iacute;mite De Exposici&oacute;n Permisible (Pel) Con Los 3M&trade; Respiradores De Media Pieza Facial O 50 Veces (Pel) Con 3M&trade; Respiradores De Pieza Facial Completa.</p>";;;;3M;SI;;;;0.00;Visible
itu_30061_3m;"Máscara de cara completa 6800. No incluye filtros ni prefiltros.";"FERRETERIA > SEGURIDAD Y PROTECCION > MASCARA FACIAL, MARCAS > 3M";0.00;;0.00;0.00;0.00;0.00;;ITU_30061_3M;;SI;NO;"<p>M&aacute;scara De Cara Completa 6800. No Incluye Filtros Ni Prefiltros. Equipo liviano y bien balanceado gracias al arn&eacute;s de cuatro puntos de apoyo, que da mayor comodidad durante el tiempo de uso. Sistema flexible: filtros para ciertos gases, vapores y part&iacute;culas (polvos, neblinas, humos met&aacute;licos) y suministro de aire. Adaptador &uacute;nico central: direcciona la exhalaci&oacute;n hacia abajo en el mismo sentido de la respiraci&oacute;n, ayudando a reducir la acumulaci&oacute;n de polvo en el &aacute;rea de la v&aacute;lvula. V&aacute;lvula de exhalaci&oacute;n Cool FlowTM, ayuda a una respiraci&oacute;n m&aacute;s c&oacute;moda, fresca y seca. Pieza facial de caucho de silicona. Facilidad de uso. Amplio campo de visi&oacute;n. Pantalla resistente a sustancias qu&iacute;micas y al rayado. Viene con un film protector del visor.</p>";;;;3M;SI;;;;0.00;Visible
itu_65316_3m;"501 Retenedor para prefiltro 5N11";"FERRETERIA > SEGURIDAD Y PROTECCION > FILTRO, MARCAS > 3M";0.00;;0.00;0.00;0.00;0.00;;ITU_65316_3M;;SI;NO;"<p>El Retenedor Del Filtro 501 De 3M&trade; Componente Del Sistema De Protecci&oacute;n Respiratoria Mantiene En Su Lugar Los Filtros De Part&iacute;culas 5N11 Y 5P71/07194 (Aad) De 3M&trade; Sobre Los Respiradores De La Serie 5000 De 3M&trade; Los Cartuchos Serie 6000 De 3M&trade; Y El Adaptador Del Filtro 603 De 3M&trade;.</p>";;;;3M;SI;;;;0.00;Visible
itu_19840_3m;"Cartucho para vapores orgánicos y gases ácidos 6003.";"FERRETERIA > SEGURIDAD Y PROTECCION > FILTRO, MARCAS > 3M";0.00;;0.00;0.00;0.00;0.00;;ITU_19840_3M;;SI;NO;"<p>El Cartucho Para Vapor Org&aacute;nico/Gas &Aacute;cido 3M&trade; 6003 Ayuda A Proporcionar Protecci&oacute;n Respiratoria Contra Ciertos Vapores Org&aacute;nicos O Gases &Aacute;cidos. Para Uso En M&aacute;scaras Medias Y Completas 3M&trade; Series 6000 7000 Y Ff-400 Con Soportes De Filtro De Bayoneta. Brinda Protecci&oacute;n Respiratoria Contra Vapores Org&aacute;nicos Cloro Cloruro De Hidr&oacute;geno Di&oacute;xido De Azufre Di&oacute;xido De Cloro Sulfuro De Hidr&oacute;geno O Fluoruro De Hidr&oacute;geno.</p>";;;;3M;SI;;;;0.00;Visible
